"date","currency","rate"
2003-09-10,"NZD",1.717
2003-09-10,"PLN",3.9611
2003-09-10,"ROL",33916
2003-09-10,"SEK",8.195
2003-09-10,"SGD",1.7493
2003-09-10,"SIT",210.45
2003-09-10,"SKK",37.227
2003-09-10,"TRL",99999.99999
2003-09-10,"ZAR",7.4771
2003-09-10,"EUR",0.89509
2003-09-11,"USD",1
2003-09-11,"AUD",1.5178
2003-09-11,"BGN",1.7353
2003-09-11,"CAD",1.368
2003-09-11,"CHF",1.3847
2003-09-11,"CYP",0.51989
2003-09-11,"CZK",29.174
2003-09-11,"DKK",6.6234
2003-09-11,"EEK",13.949
2003-09-11,"GBP",0.62726
2003-09-11,"HKD",7.7991
2003-09-11,"HUF",227.69
2003-09-11,"ISK",79.504
2003-09-11,"JPY",117.08
2003-09-11,"KRW",1169.3
2003-09-11,"LTL",3.0785
2003-09-11,"LVL",0.57083
2003-09-11,"MTL",0.38085
2003-09-11,"NOK",7.3638
2003-09-11,"NZD",1.7192
2003-09-11,"PLN",3.9515
2003-09-11,"ROL",33906
2003-09-11,"SEK",8.0984
2003-09-11,"SGD",1.7524
2003-09-11,"SIT",209.65
2003-09-11,"SKK",36.975
2003-09-11,"TRL",99999.99999
2003-09-11,"ZAR",7.3297
2003-09-11,"EUR",0.8915
2003-09-12,"USD",1
2003-09-12,"AUD",1.5158
2003-09-12,"BGN",1.7421
2003-09-12,"CAD",1.3719
2003-09-12,"CHF",1.3929
2003-09-12,"CYP",0.52229
2003-09-12,"CZK",29.191
2003-09-12,"DKK",6.6501
2003-09-12,"EEK",14.006
2003-09-12,"GBP",0.62746
2003-09-12,"HKD",7.7993
2003-09-12,"HUF",228.62
2003-09-12,"ISK",79.073
2003-09-12,"JPY",117.07
2003-09-12,"KRW",1169
2003-09-12,"LTL",3.0909
2003-09-12,"LVL",0.5717
2003-09-12,"MTL",0.38203
2003-09-12,"NOK",7.3921
2003-09-12,"NZD",1.723
2003-09-12,"PLN",3.9807
2003-09-12,"ROL",33978
2003-09-12,"SEK",8.1409
2003-09-12,"SGD",1.7517
2003-09-12,"SIT",210.52
2003-09-12,"SKK",37.079
2003-09-12,"TRL",99999.99999
2003-09-12,"ZAR",7.392
2003-09-12,"EUR",0.89509
2003-09-13,"USD",1
